Kode,Nama Perusahaan,Tipe,Currency
AKPI.JK,Argha Karya Prima Industry Tbk,Basic Materials,IDR
ALDO.JK,Alkindo Naratama Tbk.,Basic Materials,IDR
ALKA.JK,Alakasa Industrindo Tbk,Basic Materials,IDR
ALMI.JK,Alumindo Light Metal Industry ,Basic Materials,USD
ANTM.JK,Aneka Tambang Tbk.,Basic Materials,IDR
APLI.JK,Asiaplast Industries Tbk.,Basic Materials,IDR
BAJA.JK,Saranacentral Bajatama Tbk.,Basic Materials,IDR
BMSR.JK,Bintang Mitra Semestaraya Tbk,Basic Materials,IDR
ADMG.JK,Polychem Indonesia Tbk,Basic Materials,USD
AGII.JK,Aneka Gas Industri Tbk.,Basic Materials,IDR
BRMS.JK,Bumi Resources Minerals Tbk.,Basic Materials,USD
BRNA.JK,Berlina Tbk.,Basic Materials,IDR
BRPT.JK,Barito Pacific Tbk.,Basic Materials,USD
CITA.JK,Cita Mineral Investindo Tbk.,Basic Materials,IDR
CLPI.JK,Colorpak Indonesia Tbk.,Basic Materials,IDR
CTBN.JK,Citra Tubindo Tbk.,Basic Materials,USD
DKFT.JK,Central Omega Resources Tbk.,Basic Materials,IDR
DPNS.JK,Duta Pertiwi Nusantara Tbk.,Basic Materials,IDR
EKAD.JK,Ekadharma International Tbk.,Basic Materials,IDR
ESSA.JK,Surya Esa Perkasa Tbk.,Basic Materials,USD
FASW.JK,Fajar Surya Wisesa Tbk.,Basic Materials,IDR
FPNI.JK,Lotte Chemical Titan Tbk.,Basic Materials,USD
GDST.JK,Gunawan Dianjaya Steel Tbk.,Basic Materials,IDR
IGAR.JK,Champion Pacific Indonesia Tbk,Basic Materials,IDR
INKP.JK,Indah Kiat Pulp & Paper Tbk.,Basic Materials,USD
INRU.JK,Toba Pulp Lestari Tbk.,Basic Materials,USD
INTD.JK,Inter Delta Tbk,Basic Materials,IDR
INTP.JK,Indocement Tunggal Prakarsa Tb,Basic Materials,IDR
IPOL.JK,Indopoly Swakarsa Industry Tbk,Basic Materials,USD
ISSP.JK,Steel Pipe Industry of Indones,Basic Materials,IDR
JKSW.JK,Jakarta Kyoei Steel Works Tbk.,Basic Materials,IDR
KDSI.JK,Kedawung Setia Industrial Tbk.,Basic Materials,IDR
KRAS.JK,Krakatau Steel (Persero) Tbk.,Basic Materials,USD
LMSH.JK,Lionmesh Prima Tbk.,Basic Materials,IDR
LTLS.JK,Lautan Luas Tbk.,Basic Materials,IDR
MDKA.JK,Merdeka Copper Gold Tbk.,Basic Materials,USD
NIKL.JK,Pelat Timah Nusantara Tbk.,Basic Materials,USD
OKAS.JK,Ancora Indonesia Resources Tbk,Basic Materials,USD
PICO.JK,Pelangi Indah Canindo Tbk,Basic Materials,IDR
PSAB.JK,J Resources Asia Pasifik Tbk.,Basic Materials,USD
SIMA.JK,Siwani Makmur Tbk,Basic Materials,IDR
SMBR.JK,Semen Baturaja (Persero) Tbk.,Basic Materials,IDR
SMCB.JK,Solusi Bangun Indonesia Tbk.,Basic Materials,IDR
SMGR.JK,Semen Indonesia (Persero) Tbk.,Basic Materials,IDR
SPMA.JK,Suparma Tbk.,Basic Materials,IDR
SQMI.JK,Wilton Makmur Indonesia Tbk.,Basic Materials,IDR
SRSN.JK,Indo Acidatama Tbk,Basic Materials,IDR
SULI.JK,SLJ Global Tbk.,Basic Materials,USD
TALF.JK,Tunas Alfin Tbk.,Basic Materials,IDR
TBMS.JK,Tembaga Mulia Semanan Tbk.,Basic Materials,USD
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials,USD
TPIA.JK,Chandra Asri Petrochemical Tbk,Basic Materials,USD
TRST.JK,Trias Sentosa Tbk.,Basic Materials,IDR
UNIC.JK,Unggul Indah Cahaya Tbk.,Basic Materials,USD
INCF.JK,Indo Komoditi Korpora Tbk.,Basic Materials,IDR
WSBP.JK,Waskita Beton Precast Tbk.,Basic Materials,IDR
KMTR.JK,Kirana Megatara Tbk.,Basic Materials,IDR
MDKI.JK,Emdeki Utama Tbk.,Basic Materials,IDR
ZINC.JK,Kapuas Prima Coal Tbk.,Basic Materials,IDR
PBID.JK,Panca Budi Idaman Tbk.,Basic Materials,IDR
TDPM.JK,Tridomain Performance Material,Basic Materials,USD
SWAT.JK,Sriwahana Adityakarta Tbk.,Basic Materials,IDR
MOLI.JK,Madusari Murni Indah Tbk.,Basic Materials,IDR
HKMU.JK,HK Metals Utama Tbk.,Basic Materials,IDR
KAYU.JK,Darmi Bersaudara Tbk.,Basic Materials,IDR
SMKL.JK,Satyamitra Kemas Lestari Tbk.,Basic Materials,IDR
GGRP.JK,Gunung Raja Paksi Tbk.,Basic Materials,USD
OPMS.JK,Optima Prima Metal Sinergi Tbk,Basic Materials,IDR
PURE.JK,Trinitan Metals and Minerals T,Basic Materials,IDR
ESIP.JK,Sinergi Inti Plastindo Tbk.,Basic Materials,IDR
IFSH.JK,Ifishdeco Tbk.,Basic Materials,IDR
IFII.JK,Indonesia Fibreboard Industry ,Basic Materials,IDR
AYLS.JK,Agro Yasa Lestari Tbk.,Basic Materials,IDR
SAMF.JK,Saraswanti Anugerah Makmur Tbk,Basic Materials,IDR
EPAC.JK,Megalestari Epack Sentosaraya ,Basic Materials,IDR
PNGO.JK,Pinago Utama Tbk.,Basic Materials,IDR
BEBS.JK,Berkah Beton Sadaya Tbk.,Basic Materials,IDR
NPGF.JK,Nusa Palapa Gemilang Tbk.,Basic Materials,IDR
ARCI.JK,Archi Indonesia Tbk.,Basic Materials,USD
NICL.JK,PAM Mineral Tbk.,Basic Materials,IDR
TINS.JK,Timah Tbk.,Basic Materials,IDR
TIRT.JK,Tirta Mahakam Resources Tbk,Basic Materials,IDR
BTON.JK,Betonjaya Manunggal Tbk.,Basic Materials,IDR
SBMA.JK,Surya Biru Murni Acetylene Tbk,Basic Materials,IDR
CMNT.JK,Cemindo Gemilang Tbk.,Basic Materials,IDR
WTON.JK,Wijaya Karya Beton Tbk.,Basic Materials,IDR
YPAS.JK,Yanaprima Hastapersada Tbk,Basic Materials,IDR
INAI.JK,Indal Aluminium Industry Tbk.,Basic Materials,IDR
INCI.JK,Intanwijaya Internasional Tbk,Basic Materials,IDR
INCO.JK,Vale Indonesia Tbk.,Basic Materials,USD
AVIA.JK,Avia Avian Tbk.,Basic Materials,IDR
KBRI.JK,Kertas Basuki Rachmat Indonesi,Basic Materials,IDR
CHEM.JK,Chemstar Indonesia Tbk.,Basic Materials,IDR
KKES.JK,Kusuma Kemindo Sentosa Tbk.,Basic Materials,IDR
AKKU.JK,Anugerah Kagum Karya Utama Tbk,Consumer Cyclicals,IDR
ARGO.JK,Argo Pantes Tbk,Consumer Cyclicals,IDR
ARTA.JK,Arthavest Tbk,Consumer Cyclicals,IDR
BATA.JK,Sepatu Bata Tbk.,Consumer Cyclicals,IDR
BAYU.JK,Bayu Buana Tbk,Consumer Cyclicals,IDR
BIMA.JK,Primarindo Asia Infrastructure,Consumer Cyclicals,IDR
BLTZ.JK,Graha Layar Prima Tbk.,Consumer Cyclicals,IDR
BOLT.JK,Garuda Metalindo Tbk.,Consumer Cyclicals,IDR
BRAM.JK,Indo Kordsa Tbk.,Consumer Cyclicals,USD
ABBA.JK,Mahaka Media Tbk.,Consumer Cyclicals,IDR
ACES.JK,Ace Hardware Indonesia Tbk.,Consumer Cyclicals,IDR
BUVA.JK,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals,IDR
CINT.JK,Chitose Internasional Tbk.,Consumer Cyclicals,IDR
CNTX.JK,Century Textile Industry Tbk.,Consumer Cyclicals,USD
CSAP.JK,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals,IDR
ECII.JK,Electronic City Indonesia Tbk.,Consumer Cyclicals,IDR
ERAA.JK,Erajaya Swasembada Tbk.,Consumer Cyclicals,IDR
ERTX.JK,Eratex Djaja Tbk.,Consumer Cyclicals,USD
ESTI.JK,Ever Shine Tex Tbk.,Consumer Cyclicals,USD
FAST.JK,Fast Food Indonesia Tbk.,Consumer Cyclicals,IDR
FORU.JK,Fortune Indonesia Tbk,Consumer Cyclicals,IDR
GDYR.JK,Goodyear Indonesia Tbk.,Consumer Cyclicals,USD
GEMA.JK,Gema Grahasarana Tbk.,Consumer Cyclicals,IDR
GJTL.JK,Gajah Tunggal Tbk.,Consumer Cyclicals,IDR
GLOB.JK,Globe Kita Terang Tbk.,Consumer Cyclicals,IDR
HOME.JK,Hotel Mandarine Regency Tbk.,Consumer Cyclicals,IDR
HOTL.JK,Saraswati Griya Lestari Tbk.,Consumer Cyclicals,IDR
IIKP.JK,Inti Agri Resources Tbk,Consumer Cyclicals,IDR
IKAI.JK,Intikeramik Alamasri Industri ,Consumer Cyclicals,IDR
IMAS.JK,Indomobil Sukses Internasional,Consumer Cyclicals,IDR
INDS.JK,Indospring Tbk.,Consumer Cyclicals,IDR
JIHD.JK,Jakarta International Hotels &,Consumer Cyclicals,IDR
KICI.JK,Kedaung Indah Can Tbk,Consumer Cyclicals,IDR
KPIG.JK,MNC Land Tbk.,Consumer Cyclicals,IDR
LMPI.JK,Langgeng Makmur Industri Tbk.,Consumer Cyclicals,IDR
LPIN.JK,Multi Prima Sejahtera Tbk,Consumer Cyclicals,IDR
LPPF.JK,Matahari Department Store Tbk.,Consumer Cyclicals,IDR
MAMI.JK,Mas Murni Indonesia Tbk,Consumer Cyclicals,IDR
MAPI.JK,Mitra Adiperkasa Tbk.,Consumer Cyclicals,IDR
MASA.JK,Multistrada Arah Sarana Tbk.,Consumer Cyclicals,USD
MDIA.JK,Intermedia Capital Tbk.,Consumer Cyclicals,IDR
MICE.JK,Multi Indocitra Tbk.,Consumer Cyclicals,IDR
MNCN.JK,Media Nusantara Citra Tbk.,Consumer Cyclicals,IDR
MPMX.JK,Mitra Pinasthika Mustika Tbk.,Consumer Cyclicals,IDR
MSKY.JK,MNC Sky Vision Tbk.,Consumer Cyclicals,IDR
MYTX.JK,Asia Pacific Investama Tbk.,Consumer Cyclicals,IDR
PANR.JK,Panorama Sentrawisata Tbk.,Consumer Cyclicals,IDR
PBRX.JK,Pan Brothers Tbk.,Consumer Cyclicals,USD
PDES.JK,Destinasi Tirta Nusantara Tbk,Consumer Cyclicals,IDR
PGLI.JK,Pembangunan Graha Lestari Inda,Consumer Cyclicals,IDR
PJAA.JK,Pembangunan Jaya Ancol Tbk.,Consumer Cyclicals,IDR
PNSE.JK,Pudjiadi & Sons Tbk.,Consumer Cyclicals,IDR
POLY.JK,Asia Pacific Fibers Tbk,Consumer Cyclicals,USD
PRAS.JK,Prima Alloy Steel Universal Tb,Consumer Cyclicals,IDR
PSKT.JK,Red Planet Indonesia Tbk.,Consumer Cyclicals,IDR
PTSP.JK,Pioneerindo Gourmet Internatio,Consumer Cyclicals,IDR
RALS.JK,Ramayana Lestari Sentosa Tbk.,Consumer Cyclicals,IDR
RICY.JK,Ricky Putra Globalindo Tbk,Consumer Cyclicals,IDR
SCMA.JK,Surya Citra Media Tbk.,Consumer Cyclicals,IDR
SHID.JK,Hotel Sahid Jaya International,Consumer Cyclicals,IDR
SMSM.JK,Selamat Sempurna Tbk.,Consumer Cyclicals,IDR
SONA.JK,Sona Topas Tourism Industry Tb,Consumer Cyclicals,IDR
SRIL.JK,Sri Rejeki Isman Tbk.,Consumer Cyclicals,USD
SSTM.JK,Sunson Textile Manufacture Tbk,Consumer Cyclicals,IDR
TMPO.JK,Tempo Intimedia Tbk.,Consumer Cyclicals,IDR
TRIS.JK,Trisula International Tbk.,Consumer Cyclicals,IDR
TURI.JK,Tunas Ridean Tbk.,Consumer Cyclicals,IDR
UNIT.JK,Nusantara Inti Corpora Tbk,Consumer Cyclicals,IDR
VIVA.JK,Visi Media Asia Tbk.,Consumer Cyclicals,IDR
JGLE.JK,Graha Andrasentra Propertindo ,Consumer Cyclicals,IDR
BOGA.JK,Bintang Oto Global Tbk.,Consumer Cyclicals,IDR
MAPB.JK,MAP Boga Adiperkasa Tbk.,Consumer Cyclicals,IDR
WOOD.JK,Integra Indocabinet Tbk.,Consumer Cyclicals,IDR
HRTA.JK,Hartadinata Abadi Tbk.,Consumer Cyclicals,IDR
MABA.JK,Marga Abhinaya Abadi Tbk.,Consumer Cyclicals,IDR
NASA.JK,Andalan Perkasa Abadi Tbk.,Consumer Cyclicals,IDR
BELL.JK,Trisula Textile Industries Tbk,Consumer Cyclicals,IDR
DFAM.JK,Dafam Property Indonesia Tbk.,Consumer Cyclicals,IDR
PZZA.JK,Sarimelati Kencana Tbk.,Consumer Cyclicals,IDR
MSIN.JK,MNC Digital Entertainment Tbk.,Consumer Cyclicals,IDR
MAPA.JK,Map Aktif Adiperkasa Tbk.,Consumer Cyclicals,IDR
NUSA.JK,Sinergi Megah Internusa Tbk.,Consumer Cyclicals,IDR
FILM.JK,MD Pictures Tbk.,Consumer Cyclicals,IDR
DIGI.JK,Arkadia Digital Media Tbk.,Consumer Cyclicals,IDR
DUCK.JK,Jaya Bersama Indo Tbk.,Consumer Cyclicals,IDR
YELO.JK,Yelooo Integra Datanet Tbk.,Consumer Cyclicals,IDR
SOTS.JK,Satria Mega Kencana Tbk.,Consumer Cyclicals,IDR
ZONE.JK,Mega Perintis Tbk.,Consumer Cyclicals,IDR
CLAY.JK,Citra Putra Realty Tbk.,Consumer Cyclicals,IDR
NATO.JK,Surya Permata Andalan Tbk.,Consumer Cyclicals,IDR
HRME.JK,Menteng Heritage Realty Tbk.,Consumer Cyclicals,IDR
FITT.JK,Hotel Fitra International Tbk.,Consumer Cyclicals,IDR
BOLA.JK,Bali Bintang Sejahtera Tbk.,Consumer Cyclicals,IDR
POLU.JK,Golden Flower Tbk.,Consumer Cyclicals,IDR
IPTV.JK,MNC Vision Networks Tbk.,Consumer Cyclicals,IDR
EAST.JK,Eastparc Hotel Tbk.,Consumer Cyclicals,IDR
INOV.JK,Inocycle Technology Group Tbk.,Consumer Cyclicals,IDR
SLIS.JK,Gaya Abadi Sempurna Tbk.,Consumer Cyclicals,IDR
PMJS.JK,Putra Mandiri Jembar Tbk.,Consumer Cyclicals,IDR
ESTA.JK,Esta Multi Usaha Tbk.,Consumer Cyclicals,IDR
SBAT.JK,Sejahtera Bintang Abadi Textil,Consumer Cyclicals,IDR
CBMF.JK,Cahaya Bintang Medan Tbk.,Consumer Cyclicals,IDR
CSMI.JK,Cipta Selera Murni Tbk.,Consumer Cyclicals,IDR
UANG.JK,Pakuan Tbk.,Consumer Cyclicals,IDR
SOFA.JK,Boston Furniture Industries Tb,Consumer Cyclicals,IDR
TOYS.JK,Sunindo Adipersada Tbk.,Consumer Cyclicals,IDR
SCNP.JK,Selaras Citra Nusantara Perkas,Consumer Cyclicals,IDR
PLAN.JK,Planet Properindo Jaya Tbk.,Consumer Cyclicals,IDR
UFOE.JK,Damai Sejahtera Abadi Tbk.,Consumer Cyclicals,IDR
SNLK.JK,Sunter Lakeside Hotel Tbk.,Consumer Cyclicals,IDR
LFLO.JK,Imago Mulia Persada Tbk.,Consumer Cyclicals,IDR
MGLV.JK,Panca Anugrah Wisesa Tbk.,Consumer Cyclicals,IDR
TELE.JK,Omni Inovasi Indonesia Tbk.,Consumer Cyclicals,IDR
TFCO.JK,Tifico Fiber Indonesia Tbk.,Consumer Cyclicals,USD
IDEA.JK,Idea Indonesia Akademi Tbk.,Consumer Cyclicals,IDR
DEPO.JK,Caturkarda Depo Bangunan Tbk.,Consumer Cyclicals,IDR
CARS.JK,Industri dan Perdagangan Bintr,Consumer Cyclicals,IDR
MINA.JK,Sanurhasta Mitra Tbk.,Consumer Cyclicals,IDR
INDR.JK,Indo-Rama Synthetics Tbk.,Consumer Cyclicals,USD
DRMA.JK,Dharma Polimetal Tbk.,Consumer Cyclicals,IDR
ASLC.JK,Autopedia Sukses Lestari Tbk.,Consumer Cyclicals,IDR
NETV.JK,Net Visi Media Tbk.,Consumer Cyclicals,IDR
ENAK.JK,Champ Resto Indonesia Tbk.,Consumer Cyclicals,IDR
BIKE.JK,Sepeda Bersama Indonesia Tbk.,Consumer Cyclicals,IDR
JSPT.JK,Jakarta Setiabudi Internasiona,Consumer Cyclicals,IDR
OLIV.JK,Oscar Mitra Sukses Sejahtera T,Consumer Cyclicals,IDR
AUTO.JK,Astra Otoparts Tbk.,Consumer Cyclicals,IDR
MARI.JK,Mahaka Radio Integra Tbk.,Consumer Cyclicals,IDR
MKNT.JK,Mitra Komunikasi Nusantara Tbk,Consumer Cyclicals,IDR
RAFI.JK,Sari Kreasi Boga Tbk.,Consumer Cyclicals,IDR
KLIN.JK,Klinko Karya Imaji Tbk.,Consumer Cyclicals,IDR
TOOL.JK,Rohartindo Nusantara Luas Tbk.,Consumer Cyclicals,IDR
AISA.JK,FKS Food Sejahtera Tbk.,Consumer Non-Cyclicals,IDR
ALTO.JK,Tri Banyan Tirta Tbk.,Consumer Non-Cyclicals,IDR
AMRT.JK,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals,IDR
ANJT.JK,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals,USD
BISI.JK,BISI International Tbk.,Consumer Non-Cyclicals,IDR
AALI.JK,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals,IDR
ADES.JK,Akasha Wira International Tbk.,Consumer Non-Cyclicals,IDR
BWPT.JK,Eagle High Plantations Tbk.,Consumer Non-Cyclicals,IDR
CEKA.JK,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals,IDR
CPIN.JK,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals,IDR
CPRO.JK,Central Proteina Prima Tbk.,Consumer Non-Cyclicals,IDR
DLTA.JK,Delta Djakarta Tbk.,Consumer Non-Cyclicals,IDR
DSFI.JK,Dharma Samudera Fishing Indust,Consumer Non-Cyclicals,IDR
DSNG.JK,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals,IDR
EPMT.JK,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals,IDR
FISH.JK,FKS Multi Agro Tbk.,Consumer Non-Cyclicals,USD
GGRM.JK,Gudang Garam Tbk.,Consumer Non-Cyclicals,IDR
GOLL.JK,Golden Plantation Tbk.,Consumer Non-Cyclicals,IDR
GZCO.JK,Gozco Plantations Tbk.,Consumer Non-Cyclicals,IDR
HERO.JK,Hero Supermarket Tbk.,Consumer Non-Cyclicals,IDR
HMSP.JK,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals,IDR
ICBP.JK,Indofood CBP Sukses Makmur Tbk,Consumer Non-Cyclicals,IDR
JAWA.JK,Jaya Agra Wattie Tbk.,Consumer Non-Cyclicals,IDR
JPFA.JK,Japfa Comfeed Indonesia Tbk.,Consumer Non-Cyclicals,IDR
LSIP.JK,PP London Sumatra Indonesia Tb,Consumer Non-Cyclicals,IDR
MAGP.JK,Multi Agro Gemilang Plantation,Consumer Non-Cyclicals,IDR
MAIN.JK,Malindo Feedmill Tbk.,Consumer Non-Cyclicals,IDR
MBTO.JK,Martina Berto Tbk.,Consumer Non-Cyclicals,IDR
MIDI.JK,Midi Utama Indonesia Tbk.,Consumer Non-Cyclicals,IDR
MLBI.JK,Multi Bintang Indonesia Tbk.,Consumer Non-Cyclicals,IDR
MPPA.JK,Matahari Putra Prima Tbk.,Consumer Non-Cyclicals,IDR
