Kode,Nama Perusahaan,Tipe,Currency
APII.JK,Arita Prima Indonesia Tbk.,Industrials,IDR
ARNA.JK,Arwana Citramulia Tbk.,Industrials,IDR
ASGR.JK,Astra Graphia Tbk.,Industrials,IDR
ASII.JK,Astra International Tbk.,Industrials,IDR
BHIT.JK,MNC Asia Holding Tbk.,Industrials,IDR
BMTR.JK,Global Mediacom Tbk.,Industrials,IDR
BNBR.JK,Bakrie & Brothers Tbk,Industrials,IDR
ABMM.JK,ABM Investama Tbk.,Industrials,USD
CTTH.JK,Citatah Tbk.,Industrials,IDR
DYAN.JK,Dyandra Media International Tb,Industrials,IDR
HEXA.JK,Hexindo Adiperkasa Tbk.,Industrials,USD
ICON.JK,Island Concepts Indonesia Tbk.,Industrials,IDR
IKBI.JK,Sumi Indo Kabel Tbk.,Industrials,USD
INDX.JK,Tanah Laut Tbk,Industrials,IDR
INTA.JK,Intraco Penta Tbk.,Industrials,IDR
JECC.JK,Jembo Cable Company Tbk.,Industrials,IDR
KIAS.JK,Keramika Indonesia Assosiasi T,Industrials,IDR
KOBX.JK,Kobexindo Tractors Tbk.,Industrials,USD
KOIN.JK,Kokoh Inti Arebama Tbk,Industrials,IDR
KONI.JK,Perdana Bangun Pusaka Tbk,Industrials,IDR
KRAH.JK,Grand Kartech Tbk.,Industrials,IDR
LION.JK,Lion Metal Works Tbk.,Industrials,IDR
MDRN.JK,Modern Internasional Tbk.,Industrials,IDR
MFMI.JK,Multifiling Mitra Indonesia Tb,Industrials,IDR
MLIA.JK,Mulia Industrindo Tbk,Industrials,IDR
MLPL.JK,Multipolar Tbk.,Industrials,IDR
SCCO.JK,Supreme Cable Manufacturing & ,Industrials,IDR
TOTO.JK,Surya Toto Indonesia Tbk.,Industrials,IDR
UNTR.JK,United Tractors Tbk.,Industrials,IDR
VOKS.JK,Voksel Electric Tbk.,Industrials,IDR
MARK.JK,Mark Dynamics Indonesia Tbk.,Industrials,IDR
SPTO.JK,Surya Pertiwi Tbk.,Industrials,IDR
KPAL.JK,Steadfast Marine Tbk.,Industrials,IDR
SKRN.JK,Superkrane Mitra Utama Tbk.,Industrials,IDR
CAKK.JK,Cahayaputra Asa Keramik Tbk.,Industrials,IDR
SOSS.JK,Shield On Service Tbk.,Industrials,IDR
CCSI.JK,Communication Cable Systems In,Industrials,IDR
BLUE.JK,Berkah Prima Perkasa Tbk.,Industrials,IDR
ARKA.JK,Arkha Jayanti Persada Tbk.,Industrials,IDR
SINI.JK,Singaraja Putra Tbk.,Industrials,IDR
HOPE.JK,Harapan Duta Pertiwi Tbk.,Industrials,IDR
LABA.JK,Ladangbaja Murni Tbk.,Industrials,IDR
GPSO.JK,Geoprima Solusi Tbk.,Industrials,IDR
TIRA.JK,Tira Austenite Tbk,Industrials,IDR
KUAS.JK,Ace Oldfields Tbk.,Industrials,IDR
BINO.JK,Perma Plasindo Tbk.,Industrials,IDR
ZBRA.JK,Dosni Roha Indonesia Tbk.,Industrials,IDR
IMPC.JK,Impack Pratama Industri Tbk.,Industrials,IDR
NTBK.JK,Nusatama Berkah Tbk.,Industrials,IDR
JTPE.JK,Jasuindo Tiga Perkasa Tbk.,Industrials,IDR
KBLI.JK,KMI Wire & Cable Tbk.,Industrials,IDR
KBLM.JK,Kabelindo Murni Tbk.,Industrials,IDR
BALI.JK,Bali Towerindo Sentra Tbk.,Infrastructures,IDR
ACST.JK,Acset Indonusa Tbk.,Infrastructures,IDR
ADHI.JK,Adhi Karya (Persero) Tbk.,Infrastructures,IDR
BUKK.JK,Bukaka Teknik Utama Tbk.,Infrastructures,IDR
CASS.JK,Cardig Aero Services Tbk.,Infrastructures,IDR
CENT.JK,Centratama Telekomunikasi Indo,Infrastructures,IDR
CMNP.JK,Citra Marga Nusaphala Persada ,Infrastructures,IDR
DGIK.JK,Nusa Konstruksi Enjiniring Tbk,Infrastructures,IDR
EXCL.JK,XL Axiata Tbk.,Infrastructures,IDR
FREN.JK,Smartfren Telecom Tbk.,Infrastructures,IDR
GOLD.JK,Visi Telekomunikasi Infrastruk,Infrastructures,IDR
HADE.JK,Himalaya Energi Perkasa Tbk.,Infrastructures,IDR
IBST.JK,Inti Bangun Sejahtera Tbk.,Infrastructures,IDR
ISAT.JK,Indosat Tbk.,Infrastructures,IDR
JKON.JK,Jaya Konstruksi Manggala Prata,Infrastructures,IDR
LAPD.JK,Leyand International Tbk.,Infrastructures,IDR
LINK.JK,Link Net Tbk.,Infrastructures,IDR
META.JK,Nusantara Infrastructure Tbk.,Infrastructures,IDR
NRCA.JK,Nusa Raya Cipta Tbk.,Infrastructures,IDR
PTPP.JK,PP (Persero) Tbk.,Infrastructures,IDR
SSIA.JK,Surya Semesta Internusa Tbk.,Infrastructures,IDR
SUPR.JK,Solusi Tunas Pratama Tbk.,Infrastructures,IDR
TBIG.JK,Tower Bersama Infrastructure T,Infrastructures,IDR
TLKM.JK,Telkom Indonesia (Persero) Tbk,Infrastructures,IDR
TOTL.JK,Total Bangun Persada Tbk.,Infrastructures,IDR
TOWR.JK,Sarana Menara Nusantara Tbk.,Infrastructures,IDR
IDPR.JK,Indonesia Pondasi Raya Tbk.,Infrastructures,IDR
PBSA.JK,Paramita Bangun Sarana Tbk.,Infrastructures,IDR
TGRA.JK,Terregra Asia Energy Tbk.,Infrastructures,IDR
TOPS.JK,Totalindo Eka Persada Tbk.,Infrastructures,IDR
MPOW.JK,Megapower Makmur Tbk.,Infrastructures,IDR
GMFI.JK,Garuda Maintenance Facility Ae,Infrastructures,USD
PPRE.JK,PP Presisi Tbk.,Infrastructures,IDR
WEGE.JK,Wijaya Karya Bangunan Gedung T,Infrastructures,IDR
MORA.JK,Mora Telematika Indonesia Tbk.,Infrastructures,IDR
GHON.JK,Gihon Telekomunikasi Indonesia,Infrastructures,IDR
IPCC.JK,Indonesia Kendaraan Terminal T,Infrastructures,IDR
MTPS.JK,Meta Epsi Tbk.,Infrastructures,IDR
JAST.JK,Jasnita Telekomindo Tbk.,Infrastructures,IDR
KEEN.JK,Kencana Energi Lestari Tbk.,Infrastructures,USD
PTPW.JK,Pratama Widya Tbk.,Infrastructures,IDR
TAMA.JK,Lancartama Sejati Tbk.,Infrastructures,IDR
RONY.JK,Aesler Grup Internasional Tbk.,Infrastructures,IDR
PTDU.JK,Djasa Ubersakti Tbk.,Infrastructures,IDR
FIMP.JK,Fimperkasa Utama Tbk.,Infrastructures,IDR
BTEL.JK,Bakrie Telecom Tbk.,Infrastructures,IDR
MTEL.JK,Dayamitra Telekomunikasi Tbk.,Infrastructures,IDR
PORT.JK,Nusantara Pelabuhan Handal Tbk,Infrastructures,IDR
WIKA.JK,Wijaya Karya (Persero) Tbk.,Infrastructures,IDR
WSKT.JK,Waskita Karya (Persero) Tbk.,Infrastructures,IDR
IPCM.JK,Jasa Armada Indonesia Tbk.,Infrastructures,IDR
LCKM.JK,LCK Global Kedaton Tbk.,Infrastructures,IDR
SMKM.JK,Sumber Mas Konstruksi Tbk.,Infrastructures,IDR
JSMR.JK,Jasa Marga (Persero) Tbk.,Infrastructures,IDR
KARW.JK,ICTSI Jasa Prima Tbk.,Infrastructures,USD
KBLV.JK,First Media Tbk.,Infrastructures,IDR
ARKO.JK,Arkora Hydro Tbk.,Infrastructures,IDR
MTRA.JK,Mitra Pemuda Tbk.,Infrastructures,IDR
OASA.JK,Maharaksa Biru Energi Tbk.,Infrastructures,IDR
POWR.JK,Cikarang Listrindo Tbk.,Infrastructures,USD
KRYA.JK,Bangun Karya Perkasa Jaya Tbk.,Infrastructures,IDR
APLN.JK,Agung Podomoro Land Tbk.,Properties & Real Estate,IDR
BAPA.JK,Bekasi Asri Pemula Tbk.,Properties & Real Estate,IDR
BCIP.JK,Bumi Citra Permai Tbk.,Properties & Real Estate,IDR
BEST.JK,Bekasi Fajar Industrial Estate,Properties & Real Estate,IDR
BIKA.JK,Binakarya Jaya Abadi Tbk.,Properties & Real Estate,IDR
BIPP.JK,Bhuwanatala Indah Permai Tbk.,Properties & Real Estate,IDR
BKDP.JK,Bukit Darmo Property Tbk,Properties & Real Estate,IDR
BKSL.JK,Sentul City Tbk.,Properties & Real Estate,IDR
BSDE.JK,Bumi Serpong Damai Tbk.,Properties & Real Estate,IDR
COWL.JK,Cowell Development Tbk.,Properties & Real Estate,IDR
CTRA.JK,Ciputra Development Tbk.,Properties & Real Estate,IDR
DART.JK,Duta Anggada Realty Tbk.,Properties & Real Estate,IDR
DILD.JK,Intiland Development Tbk.,Properties & Real Estate,IDR
DMAS.JK,Puradelta Lestari Tbk.,Properties & Real Estate,IDR
DUTI.JK,Duta Pertiwi Tbk,Properties & Real Estate,IDR
ELTY.JK,Bakrieland Development Tbk.,Properties & Real Estate,IDR
EMDE.JK,Megapolitan Developments Tbk.,Properties & Real Estate,IDR
FMII.JK,Fortune Mate Indonesia Tbk,Properties & Real Estate,IDR
GAMA.JK,Aksara Global Development Tbk.,Properties & Real Estate,IDR
GMTD.JK,Gowa Makassar Tourism Developm,Properties & Real Estate,IDR
GPRA.JK,Perdana Gapuraprima Tbk.,Properties & Real Estate,IDR
GWSA.JK,Greenwood Sejahtera Tbk.,Properties & Real Estate,IDR
INPP.JK,Indonesian Paradise Property T,Properties & Real Estate,IDR
JRPT.JK,Jaya Real Property Tbk.,Properties & Real Estate,IDR
KIJA.JK,Kawasan Industri Jababeka Tbk.,Properties & Real Estate,IDR
LCGP.JK,Eureka Prima Jakarta Tbk.,Properties & Real Estate,IDR
LPCK.JK,Lippo Cikarang Tbk,Properties & Real Estate,IDR
LPKR.JK,Lippo Karawaci Tbk.,Properties & Real Estate,IDR
LPLI.JK,Star Pacific Tbk,Properties & Real Estate,IDR
MDLN.JK,Modernland Realty Tbk.,Properties & Real Estate,IDR
MKPI.JK,Metropolitan Kentjana Tbk.,Properties & Real Estate,IDR
MMLP.JK,Mega Manunggal Property Tbk.,Properties & Real Estate,IDR
MTLA.JK,Metropolitan Land Tbk.,Properties & Real Estate,IDR
MTSM.JK,Metro Realty Tbk.,Properties & Real Estate,IDR
MYRX.JK,Hanson International Tbk.,Properties & Real Estate,IDR
NIRO.JK,City Retail Developments Tbk.,Properties & Real Estate,IDR
OMRE.JK,Indonesia Prima Property Tbk,Properties & Real Estate,IDR
PLIN.JK,Plaza Indonesia Realty Tbk.,Properties & Real Estate,IDR
PPRO.JK,PP Properti Tbk.,Properties & Real Estate,IDR
PUDP.JK,Pudjiadi Prestige Tbk.,Properties & Real Estate,IDR
PWON.JK,Pakuwon Jati Tbk.,Properties & Real Estate,IDR
RBMS.JK,Ristia Bintang Mahkotasejati T,Properties & Real Estate,IDR
RDTX.JK,Roda Vivatex Tbk,Properties & Real Estate,IDR
RIMO.JK,Rimo International Lestari Tbk,Properties & Real Estate,IDR
RODA.JK,Pikko Land Development Tbk.,Properties & Real Estate,IDR
SMDM.JK,Suryamas Dutamakmur Tbk.,Properties & Real Estate,IDR
SMRA.JK,Summarecon Agung Tbk.,Properties & Real Estate,IDR
TARA.JK,Agung Semesta Sejahtera Tbk.,Properties & Real Estate,IDR
CSIS.JK,Cahayasakti Investindo Sukses ,Properties & Real Estate,IDR
ARMY.JK,Armidian Karyatama Tbk.,Properties & Real Estate,IDR
RISE.JK,Jaya Sukses Makmur Sentosa Tbk,Properties & Real Estate,IDR
POLL.JK,Pollux Properties Indonesia Tb,Properties & Real Estate,IDR
LAND.JK,Trimitra Propertindo Tbk.,Properties & Real Estate,IDR
CITY.JK,Natura City Developments Tbk.,Properties & Real Estate,IDR
MPRO.JK,Maha Properti Indonesia Tbk.,Properties & Real Estate,IDR
SATU.JK,Kota Satu Properti Tbk.,Properties & Real Estate,IDR
URBN.JK,Urban Jakarta Propertindo Tbk.,Properties & Real Estate,IDR
POLI.JK,Pollux Hotels Group Tbk.,Properties & Real Estate,IDR
CPRI.JK,Capri Nusa Satu Properti Tbk.,Properties & Real Estate,IDR
POSA.JK,Bliss Properti Indonesia Tbk.,Properties & Real Estate,IDR
PAMG.JK,Bima Sakti Pertiwi Tbk.,Properties & Real Estate,IDR
KOTA.JK,DMS Propertindo Tbk.,Properties & Real Estate,IDR
BAPI.JK,Bhakti Agung Propertindo Tbk.,Properties & Real Estate,IDR
NZIA.JK,Nusantara Almazia Tbk.,Properties & Real Estate,IDR
REAL.JK,Repower Asia Indonesia Tbk.,Properties & Real Estate,IDR
INDO.JK,Royalindo Investa Wijaya Tbk.,Properties & Real Estate,IDR
TRIN.JK,Perintis Triniti Properti Tbk.,Properties & Real Estate,IDR
DADA.JK,Diamond Citra Propertindo Tbk.,Properties & Real Estate,IDR
ASPI.JK,Andalan Sakti Primaindo Tbk.,Properties & Real Estate,IDR
AMAN.JK,Makmur Berkah Amanda Tbk.,Properties & Real Estate,IDR
KBAG.JK,Karya Bersama Anugerah Tbk.,Properties & Real Estate,IDR
BBSS.JK,Bumi Benowo Sukses Sejahtera T,Properties & Real Estate,IDR
PURI.JK,Puri Global Sukses Tbk.,Properties & Real Estate,IDR
HOMI.JK,Grand House Mulia Tbk.,Properties & Real Estate,IDR
ROCK.JK,Rockfields Properti Indonesia ,Properties & Real Estate,IDR
ATAP.JK,Trimitra Prawara Goldland Tbk.,Properties & Real Estate,IDR
ADCP.JK,Adhi Commuter Properti Tbk.,Properties & Real Estate,IDR
TRUE.JK,Triniti Dinamik Tbk.,Properties & Real Estate,IDR
IPAC.JK,Era Graharealty Tbk.,Properties & Real Estate,IDR
FORZ.JK,Forza Land Indonesia Tbk.,Properties & Real Estate,IDR
WINR.JK,Winner Nusantara Jaya Tbk.,Properties & Real Estate,IDR
SWID.JK,Saraswanti Indoland Developmen,Properties & Real Estate,IDR
ASRI.JK,Alam Sutera Realty Tbk.,Properties & Real Estate,IDR
EMTK.JK,Elang Mahkota Teknologi Tbk.,Technology,IDR
KREN.JK,Kresna Graha Investama Tbk.,Technology,IDR
LMAS.JK,Limas Indonesia Makmur Tbk,Technology,IDR
MLPT.JK,Multipolar Technology Tbk.,Technology,IDR
MTDL.JK,Metrodata Electronics Tbk.,Technology,IDR
PTSN.JK,Sat Nusapersada Tbk,Technology,USD
SKYB.JK,Northcliff Citranusa Indonesia,Technology,IDR
KIOS.JK,Kioson Komersial Indonesia Tbk,Technology,IDR
MCAS.JK,M Cash Integrasi Tbk.,Technology,IDR
NFCX.JK,NFC Indonesia Tbk.,Technology,IDR
DIVA.JK,Distribusi Voucher Nusantara T,Technology,IDR
LUCK.JK,Sentral Mitra Informatika Tbk.,Technology,IDR
ENVY.JK,Envy Technologies Indonesia Tb,Technology,IDR
HDIT.JK,Hensel Davest Indonesia Tbk.,Technology,IDR
TFAS.JK,Telefast Indonesia Tbk.,Technology,IDR
DMMX.JK,Digital Mediatama Maxima Tbk.,Technology,IDR
GLVA.JK,Galva Technologies Tbk.,Technology,IDR
PGJO.JK,Tourindo Guide Indonesia Tbk.,Technology,IDR
CASH.JK,Cashlez Worldwide Indonesia Tb,Technology,IDR
TECH.JK,Indosterling Technomedia Tbk.,Technology,IDR
WIFI.JK,Solusi Sinergi Digital Tbk.,Technology,IDR
DCII.JK,DCI Indonesia Tbk.,Technology,IDR
EDGE.JK,Indointernet Tbk.,Technology,IDR
ZYRX.JK,Zyrexindo Mandiri Buana Tbk.,Technology,IDR
UVCR.JK,Trimegah Karya Pratama Tbk.,Technology,IDR
BUKA.JK,Bukalapak.com Tbk.,Technology,IDR
RUNS.JK,Global Sukses Solusi Tbk.,Technology,IDR
WGSH.JK,Wira Global Solusi Tbk.,Technology,IDR
WIRG.JK,WIR ASIA Tbk.,Technology,IDR
GOTO.JK,GoTo Gojek Tokopedia Tbk.,Technology,IDR
ATIC.JK,Anabatic Technologies Tbk.,Technology,IDR
AXIO.JK,Tera Data Indonusa Tbk.,Technology,IDR
AKSI.JK,Mineral Sumberdaya Mandiri Tbk,Transportation & Logistic,IDR
BIRD.JK,Blue Bird Tbk.,Transportation & Logistic,IDR
BLTA.JK,Berlian Laju Tanker Tbk,Transportation & Logistic,USD
CMPP.JK,AirAsia Indonesia Tbk.,Transportation & Logistic,IDR
GIAA.JK,Garuda Indonesia (Persero) Tbk,Transportation & Logistic,USD
LRNA.JK,Eka Sari Lorena Transport Tbk.,Transportation & Logistic,IDR
MIRA.JK,Mitra International Resources ,Transportation & Logistic,IDR
NELY.JK,Pelayaran Nelly Dwi Putri Tbk.,Transportation & Logistic,IDR
SAFE.JK,Steady Safe Tbk,Transportation & Logistic,IDR
SDMU.JK,Sidomulyo Selaras Tbk.,Transportation & Logistic,IDR
SMDR.JK,Samudera Indonesia  Tbk.,Transportation & Logistic,USD
TAXI.JK,Express Transindo Utama Tbk.,Transportation & Logistic,IDR
TMAS.JK,Temas Tbk.,Transportation & Logistic,IDR
WEHA.JK,WEHA Transportasi Indonesia Tb,Transportation & Logistic,IDR
TRUK.JK,Guna Timur Raya Tbk.,Transportation & Logistic,IDR
TNCA.JK,Trimuda Nuansa Citra Tbk.,Transportation & Logistic,IDR
BPTR.JK,Batavia Prosperindo Trans Tbk.,Transportation & Logistic,IDR
SAPX.JK,Satria Antaran Prima Tbk.,Transportation & Logistic,IDR
DEAL.JK,Dewata Freightinternational Tb,Transportation & Logistic,IDR
JAYA.JK,Armada Berjaya Trans Tbk.,Transportation & Logistic,IDR
KJEN.JK,Krida Jaringan Nusantara Tbk.,Transportation & Logistic,IDR
PURA.JK,Putra Rajawali Kencana Tbk.,Transportation & Logistic,IDR
PPGL.JK,Prima Globalindo Logistik Tbk.,Transportation & Logistic,IDR
TRJA.JK,Transkon Jaya Tbk.,Transportation & Logistic,IDR
HAIS.JK,Hasnur Internasional Shipping ,Transportation & Logistic,IDR
HELI.JK,Jaya Trishindo Tbk.,Transportation & Logistic,IDR
ASSA.JK,Adi Sarana Armada Tbk.,Transportation & Logistic,IDR
HATM.JK,Habco Trans Maritima Tbk.,Transportation & Logistic,IDR
RCCC.JK,Utama Radar Cahaya Tbk.,Transportation & Logistic,IDR
ELPI.JK,Pelayaran Nasional Ekalya Purn,Transportation & Logistic,IDR
