Kode,Nama Perusahaan,Tipe
DWGL.JK,Dwi Guna Laksana Tbk.,Energy
JSKY.JK,Sky Energy Indonesia Tbk.,Energy
INPS.JK,Indah Prakasa Sentosa Tbk.,Energy
TCPI.JK,Transcoal Pacific Tbk.,Energy
SURE.JK,Super Energy Tbk.,Energy
WOWS.JK,Ginting Jaya Energi Tbk.,Energy
TEBE.JK,Dana Brata Luhur Tbk.,Energy
BESS.JK,Batulicin Nusantara Maritim Tb,Energy
SGER.JK,Sumber Global Energy Tbk.,Energy
UNIQ.JK,Ulima Nitra Tbk.,Energy
BSSR.JK,Baramulti Suksessarana Tbk.,Energy
MCOL.JK,Prima Andalan Mandiri Tbk.,Energy
GTSI.JK,GTS Internasional Tbk.,Energy
TAMU.JK,Pelayaran Tamarin Samudra Tbk.,Energy
WINS.JK,Wintermar Offshore Marine Tbk.,Energy
RMKE.JK,RMK Energy Tbk.,Energy
BSML.JK,Bintang Samudera Mandiri Lines,Energy
ADMR.JK,Adaro Minerals Indonesia Tbk.,Energy
SEMA.JK,Semacom Integrated Tbk.,Energy
BOSS.JK,Borneo Olah Sarana Sukses Tbk.,Energy
SICO.JK,Sigma Energy Compressindo Tbk.,Energy
COAL.JK,Black Diamond Resources Tbk.,Energy
AMAG.JK,Asuransi Multi Artha Guna Tbk.,Financials
APIC.JK,Pacific Strategic Financial Tb,Financials
ARTO.JK,Bank Jago Tbk.,Financials
ASBI.JK,Asuransi Bintang Tbk.,Financials
ASDM.JK,Asuransi Dayin Mitra Tbk.,Financials
ASJT.JK,Asuransi Jasa Tania Tbk.,Financials
ASMI.JK,Asuransi Maximus Graha Persada,Financials
BBCA.JK,Bank Central Asia Tbk.,Financials
BBHI.JK,Allo Bank Indonesia Tbk.,Financials
BBKP.JK,Bank KB Bukopin Tbk.,Financials
BBLD.JK,Buana Finance Tbk.,Financials
BBMD.JK,Bank Mestika Dharma Tbk.,Financials
BBNI.JK,Bank Negara Indonesia (Persero,Financials
BBRI.JK,Bank Rakyat Indonesia (Persero,Financials
BBTN.JK,Bank Tabungan Negara (Persero),Financials
BBYB.JK,Bank Neo Commerce Tbk.,Financials
BCAP.JK,MNC Kapital Indonesia Tbk.,Financials
BCIC.JK,Bank JTrust Indonesia Tbk.,Financials
BDMN.JK,Bank Danamon Indonesia Tbk.,Financials
BEKS.JK,Bank Pembangunan Daerah Banten,Financials
BFIN.JK,BFI Finance  Indonesia Tbk.,Financials
BGTG.JK,Bank Ganesha Tbk.,Financials
BINA.JK,Bank Ina Perdana Tbk.,Financials
BJBR.JK,Bank Pembangunan Daerah Jawa B,Financials
BJTM.JK,Bank Pembangunan Daerah Jawa T,Financials
BKSW.JK,Bank QNB Indonesia Tbk.,Financials
BMAS.JK,Bank Maspion Indonesia Tbk.,Financials
BMRI.JK,Bank Mandiri (Persero) Tbk.,Financials
BNBA.JK,Bank Bumi Arta Tbk.,Financials
BNGA.JK,Bank CIMB Niaga Tbk.,Financials
BNII.JK,Bank Maybank Indonesia Tbk.,Financials
BNLI.JK,Bank Permata Tbk.,Financials
BPFI.JK,Woori Finance Indonesia Tbk.,Financials
BPII.JK,Batavia Prosperindo Internasio,Financials
ABDA.JK,Asuransi Bina Dana Arta Tbk.,Financials
ADMF.JK,Adira Dinamika Multi Finance T,Financials
AGRO.JK,Bank Raya Indonesia Tbk.,Financials
AGRS.JK,Bank IBK Indonesia Tbk.,Financials
AHAP.JK,Asuransi Harta Aman Pratama Tb,Financials
BSIM.JK,Bank Sinarmas Tbk.,Financials
BVIC.JK,Bank Victoria International Tb,Financials
CFIN.JK,Clipan Finance Indonesia Tbk.,Financials
DEFI.JK,Danasupra Erapacific Tbk.,Financials
DNAR.JK,Bank Oke Indonesia Tbk.,Financials
DNET.JK,Indoritel Makmur Internasional,Financials
GSMF.JK,Equity Development Investment ,Financials
HDFA.JK,Radana Bhaskara Finance Tbk.,Financials
IBFN.JK,Intan Baru Prana Tbk.,Financials
INPC.JK,Bank Artha Graha Internasional,Financials
LPGI.JK,Lippo General Insurance Tbk.,Financials
LPPS.JK,Lenox Pasifik Investama Tbk.,Financials
MAYA.JK,Bank Mayapada Internasional Tb,Financials
MCOR.JK,Bank China Construction Bank I,Financials
MEGA.JK,Bank Mega Tbk.,Financials
MFIN.JK,Mandala Multifinance Tbk.,Financials
MGNA.JK,Magna Investama Mandiri Tbk.,Financials
MREI.JK,Maskapai Reasuransi Indonesia ,Financials
NISP.JK,Bank OCBC NISP Tbk.,Financials
NOBU.JK,Bank Nationalnobu Tbk.,Financials
OCAP.JK,Onix Capital Tbk.,Financials
PADI.JK,Minna Padi Investama Sekuritas,Financials
PANS.JK,Panin Sekuritas Tbk.,Financials
PEGE.JK,Panca Global Kapital Tbk.,Financials
PLAS.JK,Polaris Investama Tbk,Financials
PNBN.JK,Bank Pan Indonesia Tbk,Financials
PNBS.JK,Bank Panin Dubai Syariah Tbk.,Financials
PNIN.JK,Paninvest Tbk.,Financials
PNLF.JK,Panin Financial Tbk.,Financials
POOL.JK,Pool Advista Indonesia Tbk.,Financials
RELI.JK,Reliance Sekuritas Indonesia T,Financials
SDRA.JK,Bank Woori Saudara Indonesia 1,Financials
SMMA.JK,Sinarmas Multiartha Tbk.,Financials
SRTG.JK,Saratoga Investama Sedaya Tbk.,Financials
STAR.JK,Buana Artha Anugerah Tbk.,Financials
TRIM.JK,Trimegah Sekuritas Indonesia T,Financials
TRUS.JK,Trust Finance Indonesia Tbk,Financials
VICO.JK,Victoria Investama Tbk.,Financials
VINS.JK,Victoria Insurance Tbk.,Financials
VRNA.JK,Verena Multi Finance Tbk.,Financials
CASA.JK,Capital Financial Indonesia Tb,Financials
BRIS.JK,Bank Syariah Indonesia Tbk.,Financials
MTWI.JK,Malacca Trust Wuwungan Insuran,Financials
NICK.JK,Charnic Capital Tbk.,Financials
BTPS.JK,Bank BTPN Syariah Tbk.,Financials
TUGU.JK,Asuransi Tugu Pratama Indonesi,Financials
POLA.JK,Pool Advista Finance Tbk.,Financials
SFAN.JK,Surya Fajar Capital Tbk.,Financials
LIFE.JK,Asuransi Jiwa Sinarmas MSIG Tb,Financials
FUJI.JK,Fuji Finance Indonesia Tbk.,Financials
AMAR.JK,Bank Amar Indonesia Tbk.,Financials
AMOR.JK,Ashmore Asset Management Indon,Financials
BHAT.JK,Bhakti Multi Artha Tbk.,Financials
BBSI.JK,Krom Bank Indonesia Tbk.,Financials
BANK.JK,Bank Aladin Syariah Tbk.,Financials
MASB.JK,Bank Multiarta Sentosa Tbk.,Financials
TIFA.JK,KDB Tifa Finance Tbk.,Financials
BSWD.JK,Bank Of India Indonesia Tbk.,Financials
BTPN.JK,Bank BTPN Tbk.,Financials
WOMF.JK,Wahana Ottomitra Multiartha Tb,Financials
YULE.JK,Yulie Sekuritas Indonesia Tbk.,Financials
IMJS.JK,Indomobil Multi Jasa Tbk.,Financials
JMAS.JK,Asuransi Jiwa Syariah Jasa Mit,Financials
ASRM.JK,Asuransi Ramayana Tbk.,Financials
BABP.JK,Bank MNC Internasional Tbk.,Financials
BACA.JK,Bank Capital Indonesia Tbk.,Financials
DVLA.JK,Darya-Varia Laboratoria Tbk.,Healthcare
KLBF.JK,Kalbe Farma Tbk.,Healthcare
MERK.JK,Merck Tbk.,Healthcare
MIKA.JK,Mitra Keluarga Karyasehat Tbk.,Healthcare
PYFA.JK,Pyridam Farma Tbk,Healthcare
SAME.JK,Sarana Meditama Metropolitan T,Healthcare
SCPI.JK,Organon Pharma Indonesia Tbk.,Healthcare
SIDO.JK,Industri Jamu dan Farmasi Sido,Healthcare
SILO.JK,Siloam International Hospitals,Healthcare
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk.,Healthcare
TSPC.JK,Tempo Scan Pacific Tbk.,Healthcare
PRDA.JK,Prodia Widyahusada Tbk.,Healthcare
PRIM.JK,Royal Prima Tbk.,Healthcare
HEAL.JK,Medikaloka Hermina Tbk.,Healthcare
PEHA.JK,Phapros Tbk.,Healthcare
IRRA.JK,Itama Ranoraya Tbk.,Healthcare
CARE.JK,Metro Healthcare Indonesia Tbk,Healthcare
SOHO.JK,Soho Global Health Tbk.,Healthcare
DGNS.JK,Diagnos Laboratorium Utama Tbk,Healthcare
BMHS.JK,Bundamedik Tbk.,Healthcare
OMED.JK,Jayamas Medica Industri Tbk.,Healthcare
RSGK.JK,Kedoya Adyaraya Tbk.,Healthcare
INAF.JK,Indofarma Tbk.,Healthcare
KAEF.JK,Kimia Farma Tbk.,Healthcare
MTMH.JK,Murni Sadar Tbk.,Healthcare
MEDS.JK,Hetzer Medical Indonesia Tbk.,Healthcare
PRAY.JK,Famon Awal Bros Sedaya Tbk.,Healthcare
AMFG.JK,Asahimas Flat Glass Tbk.,Industrials
AMIN.JK,Ateliers Mecaniques D Indonesi,Industrials
APII.JK,Arita Prima Indonesia Tbk.,Industrials
ARNA.JK,Arwana Citramulia Tbk.,Industrials
ASGR.JK,Astra Graphia Tbk.,Industrials
ASII.JK,Astra International Tbk.,Industrials
BHIT.JK,MNC Asia Holding Tbk.,Industrials
BMTR.JK,Global Mediacom Tbk.,Industrials
BNBR.JK,Bakrie & Brothers Tbk,Industrials
ABMM.JK,ABM Investama Tbk.,Industrials
CTTH.JK,Citatah Tbk.,Industrials
DYAN.JK,Dyandra Media International Tb,Industrials
HEXA.JK,Hexindo Adiperkasa Tbk.,Industrials
ICON.JK,Island Concepts Indonesia Tbk.,Industrials
IKBI.JK,Sumi Indo Kabel Tbk.,Industrials
INDX.JK,Tanah Laut Tbk,Industrials
INTA.JK,Intraco Penta Tbk.,Industrials
JECC.JK,Jembo Cable Company Tbk.,Industrials
KIAS.JK,Keramika Indonesia Assosiasi T,Industrials
KOBX.JK,Kobexindo Tractors Tbk.,Industrials
KOIN.JK,Kokoh Inti Arebama Tbk,Industrials
KONI.JK,Perdana Bangun Pusaka Tbk,Industrials
KRAH.JK,Grand Kartech Tbk.,Industrials
LION.JK,Lion Metal Works Tbk.,Industrials
MDRN.JK,Modern Internasional Tbk.,Industrials
MFMI.JK,Multifiling Mitra Indonesia Tb,Industrials
MLIA.JK,Mulia Industrindo Tbk,Industrials
MLPL.JK,Multipolar Tbk.,Industrials
SCCO.JK,Supreme Cable Manufacturing & ,Industrials
TOTO.JK,Surya Toto Indonesia Tbk.,Industrials
TRIL.JK,Triwira Insanlestari Tbk.,Industrials
UNTR.JK,United Tractors Tbk.,Industrials
VOKS.JK,Voksel Electric Tbk.,Industrials
MARK.JK,Mark Dynamics Indonesia Tbk.,Industrials
SPTO.JK,Surya Pertiwi Tbk.,Industrials
KPAL.JK,Steadfast Marine Tbk.,Industrials
SKRN.JK,Superkrane Mitra Utama Tbk.,Industrials
CAKK.JK,Cahayaputra Asa Keramik Tbk.,Industrials
SOSS.JK,Shield On Service Tbk.,Industrials
CCSI.JK,Communication Cable Systems In,Industrials
BLUE.JK,Berkah Prima Perkasa Tbk.,Industrials
ARKA.JK,Arkha Jayanti Persada Tbk.,Industrials
SINI.JK,Singaraja Putra Tbk.,Industrials
HOPE.JK,Harapan Duta Pertiwi Tbk.,Industrials
LABA.JK,Ladangbaja Murni Tbk.,Industrials
GPSO.JK,Geoprima Solusi Tbk.,Industrials
TIRA.JK,Tira Austenite Tbk,Industrials
KUAS.JK,Ace Oldfields Tbk.,Industrials
BINO.JK,Perma Plasindo Tbk.,Industrials
ZBRA.JK,Dosni Roha Indonesia Tbk.,Industrials
IMPC.JK,Impack Pratama Industri Tbk.,Industrials
NTBK.JK,Nusatama Berkah Tbk.,Industrials
JTPE.JK,Jasuindo Tiga Perkasa Tbk.,Industrials
KBLI.JK,KMI Wire & Cable Tbk.,Industrials
KBLM.JK,Kabelindo Murni Tbk.,Industrials
BALI.JK,Bali Towerindo Sentra Tbk.,Infrastructures
ACST.JK,Acset Indonusa Tbk.,Infrastructures
ADHI.JK,Adhi Karya (Persero) Tbk.,Infrastructures
BUKK.JK,Bukaka Teknik Utama Tbk.,Infrastructures
CASS.JK,Cardig Aero Services Tbk.,Infrastructures
CENT.JK,Centratama Telekomunikasi Indo,Infrastructures
CMNP.JK,Citra Marga Nusaphala Persada ,Infrastructures
DGIK.JK,Nusa Konstruksi Enjiniring Tbk,Infrastructures
EXCL.JK,XL Axiata Tbk.,Infrastructures
FREN.JK,Smartfren Telecom Tbk.,Infrastructures
GOLD.JK,Visi Telekomunikasi Infrastruk,Infrastructures
HADE.JK,Himalaya Energi Perkasa Tbk.,Infrastructures
IBST.JK,Inti Bangun Sejahtera Tbk.,Infrastructures
ISAT.JK,Indosat Tbk.,Infrastructures
JKON.JK,Jaya Konstruksi Manggala Prata,Infrastructures
LAPD.JK,Leyand International Tbk.,Infrastructures
LINK.JK,Link Net Tbk.,Infrastructures
META.JK,Nusantara Infrastructure Tbk.,Infrastructures
NRCA.JK,Nusa Raya Cipta Tbk.,Infrastructures
PTPP.JK,PP (Persero) Tbk.,Infrastructures
SSIA.JK,Surya Semesta Internusa Tbk.,Infrastructures
SUPR.JK,Solusi Tunas Pratama Tbk.,Infrastructures
TBIG.JK,Tower Bersama Infrastructure T,Infrastructures
TLKM.JK,Telkom Indonesia (Persero) Tbk,Infrastructures
TOTL.JK,Total Bangun Persada Tbk.,Infrastructures
TOWR.JK,Sarana Menara Nusantara Tbk.,Infrastructures
IDPR.JK,Indonesia Pondasi Raya Tbk.,Infrastructures
PBSA.JK,Paramita Bangun Sarana Tbk.,Infrastructures
TGRA.JK,Terregra Asia Energy Tbk.,Infrastructures
TOPS.JK,Totalindo Eka Persada Tbk.,Infrastructures
MPOW.JK,Megapower Makmur Tbk.,Infrastructures
GMFI.JK,Garuda Maintenance Facility Ae,Infrastructures
PPRE.JK,PP Presisi Tbk.,Infrastructures
WEGE.JK,Wijaya Karya Bangunan Gedung T,Infrastructures
MORA.JK,Mora Telematika Indonesia Tbk.,Infrastructures
GHON.JK,Gihon Telekomunikasi Indonesia,Infrastructures
IPCC.JK,Indonesia Kendaraan Terminal T,Infrastructures
MTPS.JK,Meta Epsi Tbk.,Infrastructures
JAST.JK,Jasnita Telekomindo Tbk.,Infrastructures
KEEN.JK,Kencana Energi Lestari Tbk.,Infrastructures
PTPW.JK,Pratama Widya Tbk.,Infrastructures
TAMA.JK,Lancartama Sejati Tbk.,Infrastructures
RONY.JK,Aesler Grup Internasional Tbk.,Infrastructures
PTDU.JK,Djasa Ubersakti Tbk.,Infrastructures
KETR.JK,Ketrosden Triasmitra Tbk.,Infrastructures
FIMP.JK,Fimperkasa Utama Tbk.,Infrastructures
BTEL.JK,Bakrie Telecom Tbk.,Infrastructures
MTEL.JK,Dayamitra Telekomunikasi Tbk.,Infrastructures
PORT.JK,Nusantara Pelabuhan Handal Tbk,Infrastructures
WIKA.JK,Wijaya Karya (Persero) Tbk.,Infrastructures
WSKT.JK,Waskita Karya (Persero) Tbk.,Infrastructures
IPCM.JK,Jasa Armada Indonesia Tbk.,Infrastructures
LCKM.JK,LCK Global Kedaton Tbk.,Infrastructures
SMKM.JK,Sumber Mas Konstruksi Tbk.,Infrastructures
JSMR.JK,Jasa Marga (Persero) Tbk.,Infrastructures
KARW.JK,ICTSI Jasa Prima Tbk.,Infrastructures
KBLV.JK,First Media Tbk.,Infrastructures
ARKO.JK,Arkora Hydro Tbk.,Infrastructures
MTRA.JK,Mitra Pemuda Tbk.,Infrastructures
OASA.JK,Maharaksa Biru Energi Tbk.,Infrastructures
POWR.JK,Cikarang Listrindo Tbk.,Infrastructures
KRYA.JK,Bangun Karya Perkasa Jaya Tbk.,Infrastructures
APLN.JK,Agung Podomoro Land Tbk.,Properties & Real Estate
BAPA.JK,Bekasi Asri Pemula Tbk.,Properties & Real Estate
BCIP.JK,Bumi Citra Permai Tbk.,Properties & Real Estate
BEST.JK,Bekasi Fajar Industrial Estate,Properties & Real Estate
BIKA.JK,Binakarya Jaya Abadi Tbk.,Properties & Real Estate
BIPP.JK,Bhuwanatala Indah Permai Tbk.,Properties & Real Estate
BKDP.JK,Bukit Darmo Property Tbk,Properties & Real Estate
BKSL.JK,Sentul City Tbk.,Properties & Real Estate
BSDE.JK,Bumi Serpong Damai Tbk.,Properties & Real Estate
COWL.JK,Cowell Development Tbk.,Properties & Real Estate
CTRA.JK,Ciputra Development Tbk.,Properties & Real Estate
DART.JK,Duta Anggada Realty Tbk.,Properties & Real Estate
DILD.JK,Intiland Development Tbk.,Properties & Real Estate
DMAS.JK,Puradelta Lestari Tbk.,Properties & Real Estate
DUTI.JK,Duta Pertiwi Tbk,Properties & Real Estate
ELTY.JK,Bakrieland Development Tbk.,Properties & Real Estate
EMDE.JK,Megapolitan Developments Tbk.,Properties & Real Estate
FMII.JK,Fortune Mate Indonesia Tbk,Properties & Real Estate
GAMA.JK,Aksara Global Development Tbk.,Properties & Real Estate
GMTD.JK,Gowa Makassar Tourism Developm,Properties & Real Estate
GPRA.JK,Perdana Gapuraprima Tbk.,Properties & Real Estate
GWSA.JK,Greenwood Sejahtera Tbk.,Properties & Real Estate
INPP.JK,Indonesian Paradise Property T,Properties & Real Estate
JRPT.JK,Jaya Real Property Tbk.,Properties & Real Estate
KIJA.JK,Kawasan Industri Jababeka Tbk.,Properties & Real Estate
LCGP.JK,Eureka Prima Jakarta Tbk.,Properties & Real Estate
LPCK.JK,Lippo Cikarang Tbk,Properties & Real Estate
LPKR.JK,Lippo Karawaci Tbk.,Properties & Real Estate
LPLI.JK,Star Pacific Tbk,Properties & Real Estate
MDLN.JK,Modernland Realty Tbk.,Properties & Real Estate
MKPI.JK,Metropolitan Kentjana Tbk.,Properties & Real Estate
MMLP.JK,Mega Manunggal Property Tbk.,Properties & Real Estate
MTLA.JK,Metropolitan Land Tbk.,Properties & Real Estate
MTSM.JK,Metro Realty Tbk.,Properties & Real Estate
MYRX.JK,Hanson International Tbk.,Properties & Real Estate
NIRO.JK,City Retail Developments Tbk.,Properties & Real Estate
OMRE.JK,Indonesia Prima Property Tbk,Properties & Real Estate
PLIN.JK,Plaza Indonesia Realty Tbk.,Properties & Real Estate
PPRO.JK,PP Properti Tbk.,Properties & Real Estate
PUDP.JK,Pudjiadi Prestige Tbk.,Properties & Real Estate
PWON.JK,Pakuwon Jati Tbk.,Properties & Real Estate
RBMS.JK,Ristia Bintang Mahkotasejati T,Properties & Real Estate
RDTX.JK,Roda Vivatex Tbk,Properties & Real Estate
RIMO.JK,Rimo International Lestari Tbk,Properties & Real Estate
RODA.JK,Pikko Land Development Tbk.,Properties & Real Estate
SMDM.JK,Suryamas Dutamakmur Tbk.,Properties & Real Estate
SMRA.JK,Summarecon Agung Tbk.,Properties & Real Estate
TARA.JK,Agung Semesta Sejahtera Tbk.,Properties & Real Estate
CSIS.JK,Cahayasakti Investindo Sukses ,Properties & Real Estate
ARMY.JK,Armidian Karyatama Tbk.,Properties & Real Estate
RISE.JK,Jaya Sukses Makmur Sentosa Tbk,Properties & Real Estate
POLL.JK,Pollux Properties Indonesia Tb,Properties & Real Estate
LAND.JK,Trimitra Propertindo Tbk.,Properties & Real Estate
CITY.JK,Natura City Developments Tbk.,Properties & Real Estate
MPRO.JK,Maha Properti Indonesia Tbk.,Properties & Real Estate
SATU.JK,Kota Satu Properti Tbk.,Properties & Real Estate
URBN.JK,Urban Jakarta Propertindo Tbk.,Properties & Real Estate
POLI.JK,Pollux Hotels Group Tbk.,Properties & Real Estate
CPRI.JK,Capri Nusa Satu Properti Tbk.,Properties & Real Estate
POSA.JK,Bliss Properti Indonesia Tbk.,Properties & Real Estate
PAMG.JK,Bima Sakti Pertiwi Tbk.,Properties & Real Estate
KOTA.JK,DMS Propertindo Tbk.,Properties & Real Estate
BAPI.JK,Bhakti Agung Propertindo Tbk.,Properties & Real Estate
NZIA.JK,Nusantara Almazia Tbk.,Properties & Real Estate
REAL.JK,Repower Asia Indonesia Tbk.,Properties & Real Estate
INDO.JK,Royalindo Investa Wijaya Tbk.,Properties & Real Estate
TRIN.JK,Perintis Triniti Properti Tbk.,Properties & Real Estate
DADA.JK,Diamond Citra Propertindo Tbk.,Properties & Real Estate
ASPI.JK,Andalan Sakti Primaindo Tbk.,Properties & Real Estate
AMAN.JK,Makmur Berkah Amanda Tbk.,Properties & Real Estate
KBAG.JK,Karya Bersama Anugerah Tbk.,Properties & Real Estate
BBSS.JK,Bumi Benowo Sukses Sejahtera T,Properties & Real Estate
PURI.JK,Puri Global Sukses Tbk.,Properties & Real Estate
HOMI.JK,Grand House Mulia Tbk.,Properties & Real Estate
ROCK.JK,Rockfields Properti Indonesia ,Properties & Real Estate
ATAP.JK,Trimitra Prawara Goldland Tbk.,Properties & Real Estate
ADCP.JK,Adhi Commuter Properti Tbk.,Properties & Real Estate
TRUE.JK,Triniti Dinamik Tbk.,Properties & Real Estate
IPAC.JK,Era Graharealty Tbk.,Properties & Real Estate
BSBK.JK,Wulandari Bangun Laksana Tbk.,Properties & Real Estate
FORZ.JK,Forza Land Indonesia Tbk.,Properties & Real Estate
WINR.JK,Winner Nusantara Jaya Tbk.,Properties & Real Estate
SWID.JK,Saraswanti Indoland Developmen,Properties & Real Estate
ASRI.JK,Alam Sutera Realty Tbk.,Properties & Real Estate
EMTK.JK,Elang Mahkota Teknologi Tbk.,Technology
KREN.JK,Kresna Graha Investama Tbk.,Technology
LMAS.JK,Limas Indonesia Makmur Tbk,Technology
MLPT.JK,Multipolar Technology Tbk.,Technology
MTDL.JK,Metrodata Electronics Tbk.,Technology
PTSN.JK,Sat Nusapersada Tbk,Technology
SKYB.JK,Northcliff Citranusa Indonesia,Technology
KIOS.JK,Kioson Komersial Indonesia Tbk,Technology
MCAS.JK,M Cash Integrasi Tbk.,Technology
NFCX.JK,NFC Indonesia Tbk.,Technology
DIVA.JK,Distribusi Voucher Nusantara T,Technology
LUCK.JK,Sentral Mitra Informatika Tbk.,Technology
ENVY.JK,Envy Technologies Indonesia Tb,Technology
HDIT.JK,Hensel Davest Indonesia Tbk.,Technology
TFAS.JK,Telefast Indonesia Tbk.,Technology
DMMX.JK,Digital Mediatama Maxima Tbk.,Technology
GLVA.JK,Galva Technologies Tbk.,Technology
PGJO.JK,Tourindo Guide Indonesia Tbk.,Technology
CASH.JK,Cashlez Worldwide Indonesia Tb,Technology
TECH.JK,Indosterling Technomedia Tbk.,Technology
WIFI.JK,Solusi Sinergi Digital Tbk.,Technology
DCII.JK,DCI Indonesia Tbk.,Technology
EDGE.JK,Indointernet Tbk.,Technology
ZYRX.JK,Zyrexindo Mandiri Buana Tbk.,Technology
UVCR.JK,Trimegah Karya Pratama Tbk.,Technology
BUKA.JK,Bukalapak.com Tbk.,Technology
RUNS.JK,Global Sukses Solusi Tbk.,Technology
WGSH.JK,Wira Global Solusi Tbk.,Technology
WIRG.JK,WIR ASIA Tbk.,Technology
GOTO.JK,GoTo Gojek Tokopedia Tbk.,Technology
ATIC.JK,Anabatic Technologies Tbk.,Technology
AXIO.JK,Tera Data Indonusa Tbk.,Technology
BELI.JK,Global Digital Niaga Tbk.,Technology
AKSI.JK,Mineral Sumberdaya Mandiri Tbk,Transportation & Logistic
BIRD.JK,Blue Bird Tbk.,Transportation & Logistic
BLTA.JK,Berlian Laju Tanker Tbk,Transportation & Logistic
CMPP.JK,AirAsia Indonesia Tbk.,Transportation & Logistic
GIAA.JK,Garuda Indonesia (Persero) Tbk,Transportation & Logistic
LRNA.JK,Eka Sari Lorena Transport Tbk.,Transportation & Logistic
MIRA.JK,Mitra International Resources ,Transportation & Logistic
NELY.JK,Pelayaran Nelly Dwi Putri Tbk.,Transportation & Logistic
SAFE.JK,Steady Safe Tbk,Transportation & Logistic
SDMU.JK,Sidomulyo Selaras Tbk.,Transportation & Logistic
SMDR.JK,Samudera Indonesia  Tbk.,Transportation & Logistic
TAXI.JK,Express Transindo Utama Tbk.,Transportation & Logistic
TMAS.JK,Temas Tbk.,Transportation & Logistic
WEHA.JK,WEHA Transportasi Indonesia Tb,Transportation & Logistic
TRUK.JK,Guna Timur Raya Tbk.,Transportation & Logistic
TNCA.JK,Trimuda Nuansa Citra Tbk.,Transportation & Logistic
BPTR.JK,Batavia Prosperindo Trans Tbk.,Transportation & Logistic
SAPX.JK,Satria Antaran Prima Tbk.,Transportation & Logistic
DEAL.JK,Dewata Freightinternational Tb,Transportation & Logistic
JAYA.JK,Armada Berjaya Trans Tbk.,Transportation & Logistic
KJEN.JK,Krida Jaringan Nusantara Tbk.,Transportation & Logistic
PURA.JK,Putra Rajawali Kencana Tbk.,Transportation & Logistic
PPGL.JK,Prima Globalindo Logistik Tbk.,Transportation & Logistic
TRJA.JK,Transkon Jaya Tbk.,Transportation & Logistic
HAIS.JK,Hasnur Internasional Shipping ,Transportation & Logistic
HELI.JK,Jaya Trishindo Tbk.,Transportation & Logistic
ASSA.JK,Adi Sarana Armada Tbk.,Transportation & Logistic
HATM.JK,Habco Trans Maritima Tbk.,Transportation & Logistic
RCCC.JK,Utama Radar Cahaya Tbk.,Transportation & Logistic
ELPI.JK,Pelayaran Nasional Ekalya Purn,Transportation & Logistic
